requirementId,requirementText,requirementType,frameworkId,frameworkName,controlId,controlTitle
RBAC-ENT-001,"Establish a standardized, enterprise role-based access governance model that defines roles, maps roles to entitlements, and governs access decisions consistently across applications",Enterprise,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-ENT-002,"The system SHALL enforce least privilege access by ensuring users receive only the access required for their job function and by explicitly identifying and governing privileged or sensitive access",Enterprise,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-ENT-003,"Govern the full access lifecycle, including request, approval, activation, review, revocation, and exception handling, in a repeatable and auditable manner",Enterprise,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-ENT-004,"Produce complete, attributable, and auditable evidence of access decisions sufficient to support SOX and other regulatory audits without manual reconstruction",Enterprise,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-ENT-005,"The system SHALL support scalable onboarding of applications, identities, and roles without bespoke redesign or manual controls",Enterprise,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-ENT-006,"Define access intent, policy, and governance while delegating execution, automation, and enforcement to an enterprise IGA platform",Enterprise,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-101,"The system SHALL provide a standardized discovery model to capture application RBAC readiness inputs",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-101,"The system SHALL provide a standardized discovery model to capture application RBAC readiness inputs",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-102,"The system SHALL require completion of minimum discovery criteria before entitlement mapping",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-102,"The system SHALL require completion of minimum discovery criteria before entitlement mapping",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-103,"The system SHALL require identification of business and technical owners",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-104,"The system SHALL require documented role constructs or confirmation none exist",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-105,"The system SHALL require a current permission inventory",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-106,"The system SHALL identify privileged access paths during discovery",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-107,"The system SHALL capture segregation-of-duties considerations",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-108,"The system SHALL track discovery lifecycle status",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-109,"The system SHALL retain discovery artifacts as audit evidence",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-110,"The system SHALL support RBAC governance for non-human identities",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-201,"The system SHALL support explicit definition of business roles",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-202,"The system SHALL enforce role eligibility criteria",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-203,"The system SHALL require documented role purpose and owner",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-204,"The system SHALL support role lifecycle states",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-205,"The system SHALL ensure users inherit access only through roles",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-206,"The system SHALL automatically revoke access when role removed",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-207,"The system SHALL support role composition",Capability,,,,
RBAC-CAP-208,"The system SHALL support periodic role review",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-209,"The system SHALL require approval and justification for material role changes",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-301,"The system SHALL enforce role-to-permission mapping",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-302,"The system SHALL require justification for permissions in roles",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-303,"The system SHALL flag privileged entitlements during mapping",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-304,"The system SHALL require role owner approval for permission changes",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-305,"The system SHALL apply privileged designation using governance criteria",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-401,"The system SHALL support role-based access requests",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-402,"The system SHALL route approvals based on governance rules",Capability,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-CAP-403,"The system SHALL record approval decisions as evidence",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-404,"The system SHALL prevent fulfillment without approvals",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-405,"The system SHALL support time-bound / JIT role activation",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-406,"Automatically revoke JIT access",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-407,"The system SHALL record JIT events as audit evidence",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-501,"The system SHALL support periodic access certifications",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-502,"The system SHALL assign certifiers by governance rules",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-503,"The system SHALL record certification decisions",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-504,"The system SHALL trigger actions from certification outcomes",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-505,"The system SHALL set certification cadence by risk tier",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-601,"The system SHALL support documented access exceptions",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-602,"The system SHALL enforce expiration or revalidation of exceptions",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-603,"The system SHALL support emergency (break glass) access with review",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-604,"The system SHALL retain exception and emergency evidence",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-605,"The system SHALL trigger role review from repeated exceptions",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-701,"The system SHALL report who has access and why",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-702,"The system SHALL retain historical access records",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-703,"The system SHALL support on-demand audit evidence",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-704,"The system SHALL ensure evidence is complete and attributable",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-CAP-801,"RBAC depends on IGA for execution",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-801,"RBAC depends on IGA for execution",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-802,"IGA is system of record for roles and assignments",Capability,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-CAP-802,"IGA is system of record for roles and assignments",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-803,"IGA executes provisioning, certification, JIT",Capability,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-CAP-804,"IGA retains audit evidence for all access events",Capability,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-001,"The system SHALL support hybrid identity environments spanning on-premises and SaaS",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-002,"The system SHALL support coexistence of on-premises and SaaS components with equivalent capability",IGA Functional,,,,
RBAC-IGA-003,"The system SHALL support phased migration and parallel operation with legacy IAM systems",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-004,"The system SHALL support governance of connected and non-connected applications",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-005,"The system SHALL include non-connected applications in access reviews and certifications",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-006,"The system SHALL support standard enterprise integration patterns (APIs, directories, DBs, files, SCIM)",IGA Functional,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-IGA-007,"The system SHALL provide prebuilt connectors for common enterprise and SaaS systems",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-007,"The system SHALL provide prebuilt connectors for common enterprise and SaaS systems",IGA Functional,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-IGA-008,"The system SHALL provide extensibility mechanisms where direct connectors do not exist",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-008,"The system SHALL provide extensibility mechanisms where direct connectors do not exist",IGA Functional,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-IGA-009,"The system SHALL provide comprehensive audit logging for identity, access, and governance actions",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-010,"The system SHALL capture approver identity, timestamps, and before/after access state",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-011,"The system SHALL support configurable audit log retention policies",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-012,"The system SHALL detect and report governed directory and group membership changes",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-013,"The system SHALL detect access granted outside IGA-governed workflows",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-014,"The system SHALL retain reconciliation actions and outcomes as audit evidence",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-015,"The system SHALL support periodic access certifications by role and/or entitlement",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-016,"The system SHALL retain certification decisions with reviewer, outcome, and timestamp",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-017,"The system SHALL support role-level certifications",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-018,"Automatically revoke access when removal is approved during certification",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-019,"The system SHALL support certification delegation, escalation, and overdue tracking",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-020,"The system SHALL support hybrid identity environments spanning on-prem and SaaS",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-021,"The system SHALL support coexistence of on-prem and SaaS components",IGA Functional,,,,
RBAC-IGA-022,"The system SHALL support phased migration with legacy IAM",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-023,"The system SHALL ingest access from connected and non-connected apps",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-024,"The system SHALL support API, directory, JDBC, file ingestion",IGA Functional,DIR-SERVICES,"Directory Services",DIR-INT-1,"IGA / Directory integration"
RBAC-IGA-025,"The system SHALL correlate accounts and entitlements to roles",IGA Functional,DIR-SERVICES,"Directory Services",DIR-INT-1,"IGA / Directory integration"
RBAC-IGA-026,"The system SHALL flag privileged access during ingestion",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-027,"The system SHALL enforce RBAC role execution",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-028,"The system SHALL support ABAC eligibility enforcement",IGA Functional,,,,
RBAC-IGA-029,"Auto-revoke access on attribute change",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-030,"The system SHALL prevent direct entitlement bypass",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-031,"The system SHALL execute provisioning independent of intake UI",IGA Functional,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-IGA-032,"The system SHALL support cross-system orchestration",IGA Functional,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-IGA-033,"Auto-revoke access from certifications",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-034,"The system SHALL support just-in-time privileged access",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-035,"Automatically expire JIT access",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-036,"The system SHALL retain JIT approval and expiration evidence",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-037,"The system SHALL support role and entitlement certifications",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-038,"The system SHALL support role-level certifications",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-039,"The system SHALL support escalation and overdue tracking",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-040,"The system SHALL capture attributable audit logs",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-IGA-041,"The system SHALL detect out-of-band access",IGA Functional,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-IGA-042,"The system SHALL retain reconciliation history",IGA Functional,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-INT-001,"The system SHALL consume joiner/mover/leaver lifecycle events from Workday HR",Interface,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-INT-002,"The system SHALL ingest identity attributes from Workday to drive role eligibility",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-003,"The system SHALL refresh Workday attributes to support timely access changes",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-004,"The system SHALL retain audit evidence of Workday attribute changes affecting access",Interface,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-INT-005,"The system SHALL ingest directory accounts and groups",Interface,DIR-SERVICES,"Directory Services",DIR-INT-1,"IGA / Directory integration"
RBAC-INT-006,"The system SHALL map directory groups to roles",Interface,DIR-SERVICES,"Directory Services",DIR-INT-1,"IGA / Directory integration"
RBAC-INT-007,"The system SHALL flag privileged directory groups",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-008,"Provision directory memberships",Interface,DIR-SERVICES,"Directory Services",DIR-2.1,"Directory group provisioning"
RBAC-INT-009,"Revoke directory access on role removal",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-010,"The system SHALL detect out-of-band directory changes",Interface,DIR-SERVICES,"Directory Services",DIR-3.1,"Out-of-band change detection"
RBAC-INT-011,"The system SHALL retain directory reconciliation evidence",Interface,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-INT-012,"The system SHALL receive access request intake from ServiceNow ITSM",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-013,"The system SHALL execute fulfillment for ServiceNow-approved access requests",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-014,"The system SHALL block fulfillment of ServiceNow requests until approval is recorded",Interface,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-INT-015,"The system SHALL provide standard connectors",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-015,"The system SHALL provide standard connectors",Interface,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-INT-016,"The system SHALL support extensibility where connectors unavailable",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-016,"The system SHALL support extensibility where connectors unavailable",Interface,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-INT-017,"Provision via API/JDBC/REST",Interface,DIR-SERVICES,"Directory Services",DIR-2.1,"Directory group provisioning"
RBAC-INT-018,"The system SHALL support governed scripting",Interface,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-INT-018,"The system SHALL support governed scripting",Interface,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-INT-019,"Script execution is auditable",Interface,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-NFR-001,"The system SHALL provide 24x7 support for critical failures",NFR,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-NFR-001,"The system SHALL provide 24x7 support for critical failures",NFR,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-NFR-002,"Define SLA response times for failures",NFR,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-NFR-002,"Define SLA response times for failures",NFR,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-NFR-003,"Prioritize incidents impacting audit evidence",NFR,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-NFR-004,"Scale ingestion to enterprise volumes",NFR,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-NFR-004,"Scale ingestion to enterprise volumes",NFR,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-NFR-005,"The system SHALL support peak provisioning loads",NFR,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-NFR-006,"The system SHALL support large certification campaigns",NFR,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-NFR-007,"The system SHALL prevent unauthorized provisioning",NFR,ISO-FRAMEWORK,"ISO Controls",A.9.1.1,"A.9.1.1 (auto)"
RBAC-NFR-008,"Protect audit logs from tampering",NFR,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"
RBAC-NFR-008,"Protect audit logs from tampering",NFR,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-NFR-009,"Govern IGA admin access",NFR,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-NFR-010,"Publish release cadence",NFR,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-NFR-010,"Publish release cadence",NFR,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-NFR-011,"The system SHALL support phased rollouts",NFR,NIST-FRAMEWORK,"NIST Controls",AC-2,"AC-2 (auto)"
RBAC-NFR-011,"The system SHALL support phased rollouts",NFR,COBIT-FRAMEWORK,"COBIT Controls",DSS05.04,"DSS05.04 (auto)"
RBAC-NFR-012,"Preserve audit evidence across upgrades",NFR,SOX-FRAMEWORK,"SOX Controls",SOX-ITGC-01,"SOX-ITGC-01 (auto)"