requirementId,requirementText,proposalFrameworkId,proposalFrameworkName,proposalControlId,proposalControlTitle,reason,score
"RBAC-CAP-109","The system SHALL retain discovery artifacts as audit evidence","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-01","SOX-ITGC-01 (auto)","keyword-audit",4
"RBAC-CAP-109","The system SHALL retain discovery artifacts as audit evidence","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","keyword-audit",3
"RBAC-CAP-109","The system SHALL retain discovery artifacts as audit evidence","DIR-SERVICES","Directory Services","DIR-3.1","Out-of-band change detection","keyword-discovery",4
"RBAC-CAP-208","The system SHALL support periodic role review","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-209","The system SHALL require approval and justification for material role changes","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-304","The system SHALL require role owner approval for permission changes","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-402","The system SHALL route approvals based on governance rules","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-403","The system SHALL record approval decisions as evidence","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-01","SOX-ITGC-01 (auto)","keyword-audit",4
"RBAC-CAP-403","The system SHALL record approval decisions as evidence","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","keyword-audit",3
"RBAC-CAP-404","The system SHALL prevent fulfillment without approvals","DIR-SERVICES","Directory Services","DIR-6.1","Directory event logging","keyword-logging",3
"RBAC-CAP-407","The system SHALL record JIT events as audit evidence","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-01","SOX-ITGC-01 (auto)","keyword-audit",4
"RBAC-CAP-407","The system SHALL record JIT events as audit evidence","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","keyword-audit",3
"RBAC-CAP-407","The system SHALL record JIT events as audit evidence","DIR-SERVICES","Directory Services","DIR-6.1","Directory event logging","keyword-logging",3
"RBAC-CAP-501","The system SHALL support periodic access certifications","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-502","The system SHALL assign certifiers by governance rules","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-503","The system SHALL record certification decisions","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-504","The system SHALL trigger actions from certification outcomes","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-505","The system SHALL set certification cadence by risk tier","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-603","The system SHALL support emergency (break glass) access with review","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-605","The system SHALL trigger role review from repeated exceptions","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","fallback",1
"RBAC-CAP-703","The system SHALL support on-demand audit evidence","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-01","SOX-ITGC-01 (auto)","keyword-audit",4
"RBAC-CAP-703","The system SHALL support on-demand audit evidence","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","keyword-audit",3
"RBAC-CAP-803","IGA executes provisioning, certification, JIT","DIR-SERVICES","Directory Services","DIR-2.1","Directory group provisioning","keyword-provision",4
"RBAC-CAP-804","IGA retains audit evidence for all access events","SOX-FRAMEWORK","SOX Controls","SOX-ITGC-01","SOX-ITGC-01 (auto)","keyword-audit",4
"RBAC-CAP-804","IGA retains audit evidence for all access events","NIST-FRAMEWORK","NIST Controls","AC-2","AC-2 (auto)","keyword-audit",3
"RBAC-CAP-804","IGA retains audit evidence for all access events","DIR-SERVICES","Directory Services","DIR-6.1","Directory event logging","keyword-logging",3