RTM ID	Requirement Statement	Layer	Control Objective	Parent Requirement	Outcome	Rationale	Status	Priority	Test Case ID	Owner	Acceptance Criteria	Version	Last Modified	Dependencies	Integration Point	Identity Types	Move Types
RBAC-ENT-001	Establish a standardized, enterprise role-based access governance model that defines roles, maps roles to entitlements, and governs access decisions consistently across applications	Enterprise	RBAC Program / IAM Governance	None	Consistent role-based access decisions across the enterprise	Foundation requirement; all RBAC capabilities roll up here	Approved	Must Have	RBAC-TC-087, RBAC-TC-143, RBAC-TC-144, RBAC-TC-145, RBAC-TC-146	IAM Team	GIVEN a role-based access model is defined, WHEN access decisions are made across applications, THEN all decisions follow standardized role definitions with 100% consistency	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-002	The system SHALL enforce least privilege access by ensuring users receive only the access required for their job function and by explicitly identifying and governing privileged or sensitive access	Enterprise	RBAC Program / IAM Governance	None	Reduced access risk and over-privilege	Drives privileged designation, SoD, and risk-based controls	Approved	Must Have	RBAC-TC-088	IAM Governance Lead	GIVEN least privilege policy is enforced, WHEN users are provisioned access, THEN access is limited to job function requirements AND privileged access is explicitly flagged	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-003	Govern the full access lifecycle, including request, approval, activation, review, revocation, and exception handling, in a repeatable and auditable manner	Enterprise	RBAC Program / IAM Governance	None	End-to-end controlled access lifecycle	Lifecycle completeness and determinism	Approved	Must Have	RBAC-TC-001, RBAC-TC-002	IAM Team	GIVEN the access lifecycle is governed, WHEN any access event occurs (request/approval/activation/review/revocation/exception), THEN the event is logged with full audit trail	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-ENT-004	Produce complete, attributable, and auditable evidence of access decisions sufficient to support SOX and other regulatory audits without manual reconstruction	Enterprise	Audit / Compliance	None	Audit-ready access governance	Eliminates spreadsheets, screenshots, and tribal knowledge	Approved	Must Have	RBAC-TC-003	Compliance & Audit Team	GIVEN SOX audit requirements, WHEN evidence is requested, THEN complete attributable evidence is retrievable without manual reconstruction within 24 hours	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-005	The system SHALL support scalable onboarding of applications, identities, and roles without bespoke redesign or manual controls	Enterprise	RBAC Program / IAM Governance	None	Scalable RBAC adoption	Enables enterprise-wide rollout	Approved	Must Have	RBAC-TC-089	IAM Team	GIVEN new applications/identities/roles need onboarding, WHEN onboarding is initiated, THEN standard templates are used with no bespoke development required	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-ENT-006	Define access intent, policy, and governance while delegating execution, automation, and enforcement to an enterprise IGA platform	Enterprise	Enterprise IAM	None	Clear separation of governance and execution	RBAC governs; IGA executes	Approved	Must Have	RBAC-TC-090	IAM Team	GIVEN RBAC defines policy and IGA executes, WHEN access changes occur, THEN RBAC governs intent AND IGA automates enforcement with clear separation	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-101	The system SHALL provide a standardized discovery model to capture application RBAC readiness inputs	Capability	RBAC Product	RBAC-ENT-005	Consistent, scalable application onboarding	Enables repeatable intake without bespoke analysis	Approved	Could Have	RBAC-TC-004	RBAC Product Team	GIVEN a new application, WHEN discovery is initiated, THEN standardized intake questionnaire is presented with all required fields	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-102	The system SHALL require completion of minimum discovery criteria before entitlement mapping	Capability	RBAC Product	RBAC-ENT-005	Readiness gating enforced	Prevents premature onboarding	Approved	Could Have	RBAC-TC-005	RBAC Product Team	GIVEN discovery is incomplete, WHEN user attempts entitlement mapping, THEN system blocks with clear error message	1	2026-03-20	RBAC-CAP-101		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-103	The system SHALL require identification of business and technical owners	Capability	RBAC Product	RBAC-ENT-001	Clear accountability	Ownership is prerequisite to governance	Approved	Could Have	RBAC-TC-006	RBAC Product Team	GIVEN discovery submission, WHEN owner fields are empty, THEN system rejects with validation error	1	2026-03-20	RBAC-CAP-101		Employee, Contractor, Vendor, Dealer	N/A
RBAC-CAP-104	The system SHALL require documented role constructs or confirmation none exist	Capability	RBAC Product	RBAC-ENT-001	Role clarity	Avoids hidden or ad-hoc roles	Approved	Could Have	RBAC-TC-007	RBAC Product Team	GIVEN discovery process, WHEN role constructs exist, THEN they are documented; WHEN none exist, THEN explicit confirmation is required	1	2026-03-20	RBAC-CAP-103		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-105	The system SHALL require a current permission inventory	Capability	RBAC Product	RBAC-ENT-002	Visibility into access risk	Baseline for least privilege	Approved	Could Have	RBAC-TC-008	RBAC Product Team	GIVEN discovery process, WHEN permission inventory is missing, THEN system blocks progression	1	2026-03-20	RBAC-CAP-101		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-106	The system SHALL identify privileged access paths during discovery	Capability	RBAC Product	RBAC-ENT-002	Early risk identification	Drives heightened governance	Approved	Must Have	RBAC-TC-009	RBAC Product Team	GIVEN discovery process, WHEN privileged access paths exist, THEN they are flagged for heightened governance	1	2026-03-20	RBAC-CAP-105		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-107	The system SHALL capture segregation-of-duties considerations	Capability	RBAC Product	RBAC-ENT-002	SoD risks identified	Supports compliance controls	Approved	Must Have	RBAC-TC-010	RBAC Product Team	GIVEN discovery process, WHEN SoD conflicts are identified, THEN they are captured and linked to compliance rules	1	2026-03-20	RBAC-CAP-106		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-108	The system SHALL track discovery lifecycle status	Capability	RBAC Product	RBAC-ENT-005	Operational transparency	Enables scalable pipeline management	Approved	Should Have	RBAC-TC-011	RBAC Product Team	GIVEN discovery lifecycle, WHEN status changes, THEN transitions are tracked with timestamps	1	2026-03-20	RBAC-CAP-101		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-109	The system SHALL retain discovery artifacts as audit evidence	Capability	RBAC Product	RBAC-ENT-004	Audit-ready onboarding evidence	Eliminates manual reconstruction	Approved	Must Have	RBAC-TC-012	RBAC Product Team	GIVEN audit request, WHEN discovery artifacts are requested, THEN all documents are retrievable	1	2026-03-20	RBAC-CAP-108		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-110	The system SHALL support RBAC governance for non-human identities	Capability	RBAC Product	RBAC-ENT-001	Consistent governance across identity types	Non-human access governed, not excluded	Approved	Could Have	RBAC-TC-013, RBAC-TC-147	RBAC Product Team	GIVEN non-human identity, WHEN discovery is executed, THEN governance model applies equally to service accounts	1	2026-03-20	RBAC-CAP-101		Non-Human	N/A
RBAC-CAP-201	The system SHALL support explicit definition of business roles	Capability	RBAC Product	RBAC-ENT-001	Standardized role model	Roles reflect job functions	Approved	Should Have	RBAC-TC-065, RBAC-TC-157, RBAC-TC-163	RBAC Product Team	GIVEN role creation, WHEN business role is defined, THEN name, description, owner, and eligibility are captured	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-202	The system SHALL enforce role eligibility criteria	Capability	RBAC Product	RBAC-ENT-002	Reduced inappropriate access	Prevents over-assignment	Approved	Could Have	RBAC-TC-021, RBAC-TC-022, RBAC-TC-158	RBAC Product Team	GIVEN role assignment, WHEN eligibility criteria not met, THEN assignment is blocked	1	2026-03-20	RBAC-CAP-201		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-203	The system SHALL require documented role purpose and owner	Capability	RBAC Product	RBAC-ENT-001	Role accountability	Ownership enables lifecycle governance	Approved	Could Have	RBAC-TC-066	RBAC Product Team	GIVEN role creation, WHEN purpose or owner is missing, THEN system rejects creation	1	2026-03-20	RBAC-CAP-201		Employee, Contractor, Vendor, Dealer	N/A
RBAC-CAP-204	The system SHALL support role lifecycle states	Capability	RBAC Product	RBAC-ENT-003	Controlled role evolution	Prevents orphaned roles	Approved	Should Have	RBAC-TC-067	RBAC Product Team	GIVEN role lifecycle, WHEN status changes (Draft/Active/Deprecated/Retired), THEN transitions are logged with approvals	1	2026-03-20	RBAC-CAP-201		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-205	The system SHALL ensure users inherit access only through roles	Capability	RBAC Product	RBAC-ENT-002	Enforced least privilege	Eliminates direct entitlement sprawl	Approved	Could Have	RBAC-TC-024	RBAC Product Team	GIVEN access model, WHEN user access is evaluated, THEN all access is inherited through roles only	1	2026-03-20	RBAC-CAP-201		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-206	The system SHALL automatically revoke access when role removed	Capability	RBAC Product	RBAC-ENT-003	Deterministic deprovisioning	No manual cleanup	Approved	Must Have	RBAC-TC-023, RBAC-TC-148, RBAC-TC-149, RBAC-TC-152, RBAC-TC-153, RBAC-TC-172	RBAC Product Team	GIVEN role removal, WHEN role is removed from user, THEN all associated access is automatically revoked within SLA	1	2026-03-20	RBAC-CAP-204		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-CAP-207	The system SHALL support role composition	Capability	RBAC Product	RBAC-ENT-005	Scalable role design	Reduces duplication	Approved	Could Have	RBAC-TC-068	RBAC Product Team	GIVEN role design, WHEN composite role is created, THEN child permissions are inherited and documented	1	2026-03-20	RBAC-CAP-201		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-208	The system SHALL support periodic role review	Capability	RBAC Product	RBAC-ENT-003	Ongoing role hygiene	Prevents role drift	Approved	Could Have	RBAC-TC-069	RBAC Product Team	GIVEN periodic review cycle, WHEN review is triggered, THEN all roles in scope are reviewed with outcomes recorded	1	2026-03-20	RBAC-CAP-204		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-209	The system SHALL require approval and justification for material role changes	Capability	RBAC Product	RBAC-ENT-004	Auditable role changes	Change control enforced	Approved	Must Have	RBAC-TC-070	RBAC Product Team	GIVEN role change, WHEN material change is requested, THEN approval and justification are required before implementation	1	2026-03-20	RBAC-CAP-204		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-301	The system SHALL enforce role-to-permission mapping	Capability	RBAC Product	RBAC-ENT-001	Consistent access model	Centralizes authorization	Approved	Could Have	RBAC-TC-019	RBAC Product Team	GIVEN role definition, WHEN permissions are mapped, THEN role-to-permission relationships are enforced consistently	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-302	The system SHALL require justification for permissions in roles	Capability	RBAC Product	RBAC-ENT-002	Least privilege defensibility	Explains access scope	Approved	Could Have	RBAC-TC-071	RBAC Product Team	GIVEN permission assignment, WHEN permission is added to role, THEN business justification is required	1	2026-03-20	RBAC-CAP-301		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-303	The system SHALL flag privileged entitlements during mapping	Capability	RBAC Product	RBAC-ENT-002	Privileged access visibility	Drives stricter controls	Approved	Must Have	RBAC-TC-020	RBAC Product Team	GIVEN entitlement mapping, WHEN privileged entitlement is identified, THEN privileged flag is automatically applied	1	2026-03-20	RBAC-CAP-301		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-304	The system SHALL require role owner approval for permission changes	Capability	RBAC Product	RBAC-ENT-003	Controlled permission lifecycle	Prevents silent expansion	Approved	Could Have	RBAC-TC-072	RBAC Product Team	GIVEN permission change, WHEN permissions are modified, THEN role owner approval is required	1	2026-03-20	RBAC-CAP-303		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-305	The system SHALL apply privileged designation using governance criteria	Capability	RBAC Product	RBAC-ENT-002	Risk-based governance	Enables tiered controls	Approved	Must Have	RBAC-TC-073	RBAC Product Team	GIVEN privileged designation, WHEN governance criteria are met, THEN privileged flag is applied automatically	1	2026-03-20	RBAC-CAP-301		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-401	The system SHALL support role-based access requests	Capability	RBAC Product	RBAC-ENT-001	Consistent request experience	Eliminates entitlement picking	Approved	Should Have	RBAC-TC-074	RBAC Product Team	GIVEN access request, WHEN user requests access, THEN role-based selection is presented (not individual entitlements)	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-402	The system SHALL route approvals based on governance rules	Capability	RBAC Product	RBAC-ENT-003	Policy-driven approvals	Reduces variance	Approved	Could Have	RBAC-TC-075	RBAC Product Team	GIVEN access request, WHEN approval is needed, THEN routing follows governance rules (manager, role owner, etc.)	1	2026-03-20	RBAC-CAP-401		Employee, Contractor, Vendor, Dealer	Role Change
RBAC-CAP-403	The system SHALL record approval decisions as evidence	Capability	RBAC Product	RBAC-ENT-004	Attributable approval trail	Audit defensibility	Approved	Must Have	RBAC-TC-076	RBAC Product Team	GIVEN approval decision, WHEN approver acts, THEN decision is recorded with identity, timestamp, and justification	1	2026-03-20	RBAC-CAP-402		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-404	The system SHALL prevent fulfillment without approvals	Capability	RBAC Product	RBAC-ENT-003	Enforced authorization	No bypass paths	Approved	Must Have	RBAC-TC-077	RBAC Product Team	GIVEN incomplete approvals, WHEN fulfillment is attempted, THEN system blocks until all approvals complete	1	2026-03-20	RBAC-CAP-402		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-405	The system SHALL support time-bound / JIT role activation	Capability	RBAC Product	RBAC-ENT-002	Reduced standing privilege	Risk-aware access	Approved	Could Have	RBAC-TC-028, RBAC-TC-167, RBAC-TC-174	RBAC Product Team	GIVEN JIT request, WHEN approved, THEN access is granted with explicit time boundary	1	2026-03-20	RBAC-CAP-401		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-406	Automatically revoke JIT access	Capability	RBAC Product	RBAC-ENT-003	Automatic cleanup	No lingering access	Approved	Must Have	RBAC-TC-029	RBAC Product Team	GIVEN JIT access, WHEN time boundary expires, THEN access is automatically revoked	1	2026-03-20	RBAC-CAP-405		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-407	The system SHALL record JIT events as audit evidence	Capability	RBAC Product	RBAC-ENT-004	Full lifecycle evidence	Covers elevated access	Approved	Must Have	RBAC-TC-030	RBAC Product Team	GIVEN JIT lifecycle, WHEN audit is requested, THEN full activation/deactivation evidence is available	1	2026-03-20	RBAC-CAP-406		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-501	The system SHALL support periodic access certifications	Capability	RBAC Product	RBAC-ENT-003	Ongoing access validation	Governance loop	Approved	Should Have	RBAC-TC-031, RBAC-TC-155, RBAC-TC-159, RBAC-TC-164, RBAC-TC-173	RBAC Product Team	GIVEN certification schedule, WHEN campaign launches, THEN all in-scope access is included	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-502	The system SHALL assign certifiers by governance rules	Capability	RBAC Product	RBAC-ENT-003	Correct reviewer assignment	Prevents conflicts	Approved	Could Have	RBAC-TC-033	RBAC Product Team	GIVEN certification campaign, WHEN certifiers are assigned, THEN assignment follows governance rules with escalation	1	2026-03-20	RBAC-CAP-501		Employee, Contractor, Vendor, Dealer	N/A
RBAC-CAP-503	The system SHALL record certification decisions	Capability	RBAC Product	RBAC-ENT-004	Attributable review evidence	Audit ready	Approved	Should Have	RBAC-TC-032, RBAC-TC-160, RBAC-TC-165	RBAC Product Team	GIVEN certification review, WHEN certifier decides, THEN decision is recorded with timestamp and identity	1	2026-03-20	RBAC-CAP-502		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-504	The system SHALL trigger actions from certification outcomes	Capability	RBAC Product	RBAC-ENT-003	Closed-loop enforcement	Reviews drive change	Approved	Should Have	RBAC-TC-027	RBAC Product Team	GIVEN certification outcome, WHEN revoke decision is made, THEN access removal is triggered automatically	1	2026-03-20	RBAC-CAP-503		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Expedited Termination
RBAC-CAP-505	The system SHALL set certification cadence by risk tier	Capability	RBAC Product	RBAC-ENT-002	Risk-based reviews	Focus on sensitive access	Approved	Should Have	RBAC-TC-078	RBAC Product Team	GIVEN risk tier, WHEN certification cadence is configured, THEN frequency matches risk level (higher risk = more frequent)	1	2026-03-20	RBAC-CAP-501		Employee, Contractor, Vendor, Dealer, Non-Human	N/A
RBAC-CAP-601	The system SHALL support documented access exceptions	Capability	RBAC Product	RBAC-ENT-003	Governed deviations	No informal workarounds	Approved	Could Have	RBAC-TC-046, RBAC-TC-162, RBAC-TC-169	RBAC Product Team	GIVEN access exception, WHEN exception is requested, THEN justification, approver, and expiration are documented	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-602	The system SHALL enforce expiration or revalidation of exceptions	Capability	RBAC Product	RBAC-ENT-002	Time-bound risk	Limits standing exceptions	Approved	Could Have	RBAC-TC-047, RBAC-TC-156	RBAC Product Team	GIVEN exception expiration, WHEN date is reached, THEN access is revoked OR revalidation workflow triggers	1	2026-03-20	RBAC-CAP-601		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence
RBAC-CAP-603	The system SHALL support emergency (break glass) access with review	Capability	RBAC Product	RBAC-ENT-003	Controlled emergency access	Accountability preserved	Approved	Could Have	RBAC-TC-048	RBAC Product Team	GIVEN emergency, WHEN break-glass access is invoked, THEN post-access review is automatically scheduled	1	2026-03-20	RBAC-CAP-601		Employee, Contractor, Vendor, Dealer	Expedited Termination
RBAC-CAP-604	The system SHALL retain exception and emergency evidence	Capability	RBAC Product	RBAC-ENT-004	Defensible non-standard access	Audit completeness	Approved	Must Have	RBAC-TC-049	RBAC Product Team	GIVEN audit request, WHEN exception/emergency evidence is requested, THEN complete trail is retrievable	1	2026-03-20	RBAC-CAP-602		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-605	The system SHALL trigger role review from repeated exceptions	Capability	RBAC Product	RBAC-ENT-001	Role model improvement	Exceptions drive design fixes	Approved	Could Have	RBAC-TC-050	RBAC Product Team	GIVEN repeated exceptions (3+), WHEN pattern is detected, THEN role review workflow is triggered	1	2026-03-20	RBAC-CAP-601		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-CAP-701	The system SHALL report who has access and why	Capability	RBAC Product	RBAC-ENT-004	Transparency	Core audit question	Approved	Could Have	RBAC-TC-051	RBAC Product Team	GIVEN access inquiry, WHEN report is generated, THEN user, role, entitlements, and justification are displayed	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-702	The system SHALL retain historical access records	Capability	RBAC Product	RBAC-ENT-004	Longitudinal evidence	Supports audits	Approved	Could Have	RBAC-TC-052	RBAC Product Team	GIVEN historical inquiry, WHEN point-in-time access is requested, THEN snapshot shows access state with effective dates	1	2026-03-20	RBAC-CAP-701		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-703	The system SHALL support on-demand audit evidence	Capability	RBAC Product	RBAC-ENT-004	Zero manual reconstruction	Audit efficiency	Approved	Must Have	RBAC-TC-053	RBAC Product Team	GIVEN SOX audit, WHEN evidence package is requested, THEN complete package is generated without manual assembly	1	2026-03-20	RBAC-CAP-701		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-704	The system SHALL ensure evidence is complete and attributable	Capability	RBAC Product	RBAC-ENT-004	Compliance defensibility	SOX-aligned	Approved	Must Have	RBAC-TC-054	RBAC Product Team	GIVEN evidence review, WHEN records are examined, THEN timestamp, actor, action, and outcome are present	1	2026-03-20	RBAC-CAP-701		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-801	RBAC depends on IGA for execution	Capability	RBAC Product	RBAC-ENT-006	Clear execution boundary	RBAC governs, IGA executes	Approved	Could Have	RBAC-TC-061	RBAC Product Team	GIVEN IGA outage, WHEN IGA is offline, THEN RBAC policy definitions remain accessible	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-802	IGA is system of record for roles and assignments	Capability	RBAC Product	RBAC-ENT-006	Authoritative source	Eliminates ambiguity	Approved	Should Have	RBAC-TC-062	RBAC Product Team	GIVEN RBAC policy update, WHEN policy is published, THEN IGA correctly interprets and executes	1	2026-03-20	RBAC-CAP-801		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-803	IGA executes provisioning, certification, JIT	Capability	RBAC Product	RBAC-ENT-003	Lifecycle automation	Scalable enforcement	Approved	Should Have	RBAC-TC-063	RBAC Product Team	GIVEN IGA execution, WHEN provisioning/certification completes, THEN evidence is returned to RBAC audit trail	1	2026-03-20	RBAC-CAP-801		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-CAP-804	IGA retains audit evidence for all access events	Capability	RBAC Product	RBAC-ENT-004	Centralized evidence	Audit-ready by design	Approved	Must Have	RBAC-TC-064	RBAC Product Team	GIVEN IGA migration, WHEN platform is replaced, THEN RBAC definitions are portable via export/import	1	2026-03-20	RBAC-CAP-801		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-IGA-001	The system SHALL support hybrid identity environments spanning on-premises and SaaS	IGA Functional	IGA Platform	RBAC-CAP-803	RBAC roles executable across all environments	Required for enterprise-wide RBAC execution	Approved	Should Have	RBAC-TC-014, RBAC-TC-091, RBAC-TC-150, RBAC-TC-151	IGA Platform Team	GIVEN hybrid environment, WHEN provisioning occurs, THEN both SaaS and on-prem targets receive consistent enforcement	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-002	The system SHALL support coexistence of on-premises and SaaS components with equivalent capability	IGA Functional	IGA Platform	RBAC-CAP-803	Phased RBAC adoption without disruption	Enables incremental migration	Approved	Should Have	RBAC-TC-015, RBAC-TC-092	IGA Platform Team	GIVEN hybrid deployment, WHEN on-prem and SaaS components operate, THEN no functional gaps exist	1	2026-03-20	RBAC-IGA-001		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-003	The system SHALL support phased migration and parallel operation with legacy IAM systems	IGA Functional	IGA Platform	RBAC-CAP-803	RBAC transition without access loss	Protects business continuity	Approved	Should Have	RBAC-TC-016, RBAC-TC-093	IGA Platform Team	GIVEN parallel operation, WHEN IGA runs alongside legacy IAM, THEN no access loss occurs during transition	1	2026-03-20	RBAC-IGA-001		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-004	The system SHALL support governance of connected and non-connected applications	IGA Functional	IGA Platform	RBAC-CAP-803	Complete access governance coverage	Prevents audit blind spots	Approved	Should Have	RBAC-TC-094	IGA Platform Team	GIVEN IGA architecture, WHEN scaled, THEN performance SLAs are met without degradation	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-005	The system SHALL include non-connected applications in access reviews and certifications	IGA Functional	IGA Platform	RBAC-CAP-804	All access subject to review	Manual access still governed	Approved	Should Have	RBAC-TC-017, RBAC-TC-095	IGA Platform Team	GIVEN non-connected app, WHEN ingested, THEN access is included in governance reviews	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-006	The system SHALL support standard enterprise integration patterns (APIs, directories, DBs, files, SCIM)	IGA Functional	IGA Platform	RBAC-CAP-803	Standardized provisioning execution	Avoids bespoke integrations	Approved	Should Have	RBAC-TC-018, RBAC-TC-096	IGA Platform Team	GIVEN integration requirement, WHEN API/JDBC connector is used, THEN all accounts are visible	1	2026-03-20	RBAC-IGA-005	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
