RTM ID	Requirement Statement	Layer	Control Objective	Parent Requirement	Outcome	Rationale	Status	Priority	Test Case ID	Owner	Acceptance Criteria	Version	Last Modified	Dependencies	Integration Point	Identity Types	Move Types
RBAC-IGA-007	The system SHALL provide prebuilt connectors for common enterprise and SaaS systems	IGA Functional	IGA Platform	RBAC-CAP-803	Faster application onboarding	Improves scalability	Approved	Should Have	RBAC-TC-097	IGA Platform Team	GIVEN integration pattern, WHEN connector is deployed, THEN standard protocol is followed	1	2026-03-20	RBAC-IGA-006	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-008	The system SHALL provide extensibility mechanisms where direct connectors do not exist	IGA Functional	IGA Platform	RBAC-CAP-803	Long-tail application support	Ensures RBAC coverage completeness	Approved	Should Have	RBAC-TC-026, RBAC-TC-098	IGA Platform Team	GIVEN orchestration need, WHEN workflow is chained, THEN all steps execute in sequence with logging	1	2026-03-20	RBAC-IGA-007	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-009	The system SHALL provide comprehensive audit logging for identity, access, and governance actions	IGA Functional	IGA Platform	RBAC-CAP-804	Foundational audit trail	Required for compliance	Approved	Must Have	RBAC-TC-099	IGA Platform Team	GIVEN provisioning request, WHEN target system is reached, THEN access is created per specification	1	2026-03-20	RBAC-IGA-005		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-010	The system SHALL capture approver identity, timestamps, and before/after access state	IGA Functional	IGA Platform	RBAC-CAP-804	Full decision traceability	Attribution required for SOX	Approved	Should Have	RBAC-TC-034, RBAC-TC-100, RBAC-TC-175	IGA Platform Team	GIVEN approval workflow, WHEN approval is recorded, THEN identity and timestamp are captured	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-011	The system SHALL support configurable audit log retention policies	IGA Functional	IGA Platform	RBAC-CAP-804	Evidence retained per policy	Aligns to regulatory requirements	Approved	Must Have	RBAC-TC-101	IGA Platform Team	GIVEN certification requirement, WHEN campaign executes, THEN IGA presents access for review	1	2026-03-20	RBAC-IGA-010		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-012	The system SHALL detect and report governed directory and group membership changes	IGA Functional	IGA Platform	RBAC-CAP-804	Access drift visibility	Supports least privilege	Approved	Should Have	RBAC-TC-102	IGA Platform Team	GIVEN access reconciliation, WHEN scheduled, THEN IGA compares actual vs expected access	1	2026-03-20	RBAC-IGA-010	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-013	The system SHALL detect access granted outside IGA-governed workflows	IGA Functional	IGA Platform	RBAC-CAP-804	Exception and violation detection	Surfaces unauthorized access	Approved	Should Have	RBAC-TC-035, RBAC-TC-103, RBAC-TC-166	IGA Platform Team	GIVEN out-of-band access, WHEN detected, THEN drift is flagged for remediation	1	2026-03-20	RBAC-IGA-010		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-014	The system SHALL retain reconciliation actions and outcomes as audit evidence	IGA Functional	IGA Platform	RBAC-CAP-804	Proof of remediation	Required for defensibility	Approved	Must Have	RBAC-TC-036, RBAC-TC-104	IGA Platform Team	GIVEN reconciliation history, WHEN audit requested, THEN outcomes are retained and retrievable	1	2026-03-20	RBAC-IGA-013		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-015	The system SHALL support periodic access certifications by role and/or entitlement	IGA Functional	IGA Platform	RBAC-CAP-803	Ongoing access validation	Drives lifecycle governance	Approved	Should Have	RBAC-TC-105	IGA Platform Team	GIVEN reporting need, WHEN report is requested, THEN IGA provides access intelligence	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-016	The system SHALL retain certification decisions with reviewer, outcome, and timestamp	IGA Functional	IGA Platform	RBAC-CAP-804	Certification evidence	Eliminates manual reconstruction	Approved	Should Have	RBAC-TC-106	IGA Platform Team	GIVEN analytics requirement, WHEN access patterns analyzed, THEN insights are surfaced	1	2026-03-20	RBAC-IGA-015		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-017	The system SHALL support role-level certifications	IGA Functional	IGA Platform	RBAC-CAP-803	RBAC-native reviews	Aligns reviews to role model	Approved	Should Have	RBAC-TC-107	IGA Platform Team	GIVEN audit request, WHEN evidence is needed, THEN IGA provides complete access trail	1	2026-03-20	RBAC-IGA-015		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-018	Automatically revoke access when removal is approved during certification	IGA Functional	IGA Platform	RBAC-CAP-803	Closed-loop access removal	Prevents lingering access	Approved	Must Have	RBAC-TC-108	IGA Platform Team	GIVEN compliance requirement, WHEN policy is evaluated, THEN IGA enforces consistently	1	2026-03-20	RBAC-IGA-015		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-019	The system SHALL support certification delegation, escalation, and overdue tracking	IGA Functional	IGA Platform	RBAC-CAP-803	Scalable certification operations	Required at enterprise scale	Approved	Should Have	RBAC-TC-109	IGA Platform Team	GIVEN risk assessment, WHEN access risk is calculated, THEN score reflects actual risk posture	1	2026-03-20	RBAC-IGA-015		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-020	The system SHALL support hybrid identity environments spanning on-prem and SaaS	IGA Functional	IGA Vendor	RBAC-CAP-803	Hybrid execution supported	FR-1.1	Approved	Should Have	RBAC-TC-120	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-021	The system SHALL support coexistence of on-prem and SaaS components	IGA Functional	IGA Vendor	RBAC-CAP-803	Parallel execution	FR-1.2	Approved	Should Have	RBAC-TC-121	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-020		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-022	The system SHALL support phased migration with legacy IAM	IGA Functional	IGA Vendor	RBAC-CAP-803	No access disruption	FR-1.3	Approved	Should Have	RBAC-TC-122	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-020		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-023	The system SHALL ingest access from connected and non-connected apps	IGA Functional	IGA Vendor	RBAC-CAP-105	Complete access visibility	FR-2.1	Approved	Should Have	RBAC-TC-123	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20		IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-024	The system SHALL support API, directory, JDBC, file ingestion	IGA Functional	IGA Vendor	RBAC-CAP-105	Standard ingestion	FR-2.3, FR-2.9	Approved	Should Have	RBAC-TC-124	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-023	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-025	The system SHALL correlate accounts and entitlements to roles	IGA Functional	IGA Vendor	RBAC-CAP-201	Accurate role mapping	FR-2.7	Approved	Should Have	RBAC-TC-125	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-024		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-026	The system SHALL flag privileged access during ingestion	IGA Functional	IGA Vendor	RBAC-CAP-303	Privileged visibility	FR-2.8	Approved	Must Have	RBAC-TC-126	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20		IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-027	The system SHALL enforce RBAC role execution	IGA Functional	IGA Vendor	RBAC-CAP-201	Deterministic access	FR-3.1	Approved	Should Have	RBAC-TC-127	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-026		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-028	The system SHALL support ABAC eligibility enforcement	IGA Functional	IGA Vendor	RBAC-CAP-202	Policy-based access	FR-3.2	Approved	Should Have	RBAC-TC-128	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-027		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-029	Auto-revoke access on attribute change	IGA Functional	IGA Vendor	RBAC-CAP-206	Lifecycle enforcement	FR-3.3, FR-3.7	Approved	Should Have	RBAC-TC-129	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-023		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-030	The system SHALL prevent direct entitlement bypass	IGA Functional	IGA Vendor	RBAC-CAP-301	No uncontrolled access	FR-3.6	Approved	Should Have	RBAC-TC-130	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-028		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-031	The system SHALL execute provisioning independent of intake UI	IGA Functional	IGA Vendor	RBAC-CAP-404	Reliable fulfillment	FR-6.3	Approved	Should Have	RBAC-TC-131	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20		IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-032	The system SHALL support cross-system orchestration	IGA Functional	IGA Vendor	RBAC-CAP-404	End-to-end provisioning	FR-6.4, FR-6.5	Approved	Should Have	RBAC-TC-132	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-033	Auto-revoke access from certifications	IGA Functional	IGA Vendor	RBAC-CAP-504	Closed-loop governance	FR-7.10	Approved	Should Have	RBAC-TC-133	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-034	The system SHALL support just-in-time privileged access	IGA Functional	IGA Vendor	RBAC-CAP-405	Reduced standing privilege	FR-5.1	Approved	Must Have	RBAC-TC-134	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-035	Automatically expire JIT access	IGA Functional	IGA Vendor	RBAC-CAP-406	Time-bound enforcement	FR-5.2	Approved	Should Have	RBAC-TC-135	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-036	The system SHALL retain JIT approval and expiration evidence	IGA Functional	IGA Vendor	RBAC-CAP-407	Auditable JIT	FR-5.4	Approved	Must Have	RBAC-TC-136	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-033		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-037	The system SHALL support role and entitlement certifications	IGA Functional	IGA Vendor	RBAC-CAP-501	Ongoing validation	FR-7.7	Approved	Should Have	RBAC-TC-137	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-038	The system SHALL support role-level certifications	IGA Functional	IGA Vendor	RBAC-CAP-501	RBAC-native reviews	FR-7.9	Approved	Should Have	RBAC-TC-138	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-037		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-039	The system SHALL support escalation and overdue tracking	IGA Functional	IGA Vendor	RBAC-CAP-501	Scalable certifications	FR-7.11	Approved	Should Have	RBAC-TC-139	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-037		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-040	The system SHALL capture attributable audit logs	IGA Functional	IGA Vendor	RBAC-CAP-704	Audit defensibility	FR-7.1, FR-7.2	Approved	Must Have	RBAC-TC-140	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20			Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-041	The system SHALL detect out-of-band access	IGA Functional	IGA Vendor	RBAC-CAP-701	Drift detection	FR-7.5	Approved	Should Have	RBAC-TC-141	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-040		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-IGA-042	The system SHALL retain reconciliation history	IGA Functional	IGA Vendor	RBAC-CAP-702	Historical evidence	FR-7.6	Approved	Should Have	RBAC-TC-142	IGA Vendor	GIVEN IGA platform capability, WHEN function is invoked, THEN execution completes with audit evidence	1	2026-03-20	RBAC-IGA-041		Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-001	The system SHALL consume joiner/mover/leaver lifecycle events from Workday HR	Interface	Workday → IGA Integration	RBAC-CAP-105	Authoritative lifecycle	IR-WD-1	Approved	Should Have	RBAC-TC-037, RBAC-TC-115, RBAC-TC-154, RBAC-TC-170, RBAC-TC-171	IAM Team	GIVEN Workday hire event, WHEN JML event fires, THEN IGA receives and processes within 15 minutes	1	2026-03-20	RBAC-IGA-023	IGA ↔ Workday	Employee, Contractor	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-002	The system SHALL ingest identity attributes from Workday to drive role eligibility	Interface	Workday → IGA Integration	RBAC-CAP-206	Deterministic eligibility	IR-WD-2	Approved	Should Have	RBAC-TC-113	IAM Team	GIVEN Workday identity attributes, WHEN attributes change, THEN IGA ingests for role eligibility evaluation	1	2026-03-20	RBAC-IGA-029	IGA ↔ Workday	Employee, Contractor	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-003	The system SHALL refresh Workday attributes to support timely access changes	Interface	Workday → IGA Integration	RBAC-CAP-206	Near real-time enforcement	IR-WD-3	Approved	Should Have	RBAC-TC-114	IAM Team	GIVEN Workday termination, WHEN leaver event fires, THEN IGA initiates deprovisioning within SLA	1	2026-03-20	RBAC-IGA-029	IGA ↔ Workday	Employee, Contractor	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-004	The system SHALL retain audit evidence of Workday attribute changes affecting access	Interface	Workday → IGA Integration	RBAC-CAP-704	Audit defensibility	IR-WD-4	Approved	Must Have	RBAC-TC-038	IAM Team	GIVEN Workday mover event, WHEN attributes change, THEN IGA evaluates and adjusts access per policy	1	2026-03-20	RBAC-IGA-040	IGA ↔ Workday	Employee, Contractor	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-005	The system SHALL ingest directory accounts and groups	Interface	IAM	RBAC-CAP-105	Directory visibility	DIR-1.1	Approved	Should Have	RBAC-TC-055	IAM Team	GIVEN AD provisioning, WHEN account is created, THEN attributes and groups are set correctly	1	2026-03-20	RBAC-IGA-024	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-006	The system SHALL map directory groups to roles	Interface	IAM	RBAC-CAP-201	RBAC enforcement	DIR-1.2	Approved	Should Have	RBAC-TC-056	IAM Team	GIVEN Entra ID provisioning, WHEN account is created, THEN attributes and licenses are assigned	1	2026-03-20	RBAC-IGA-027	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-INT-007	The system SHALL flag privileged directory groups	Interface	IAM	RBAC-CAP-303	Privileged visibility	DIR-1.3	Approved	Must Have	RBAC-TC-057	IAM Team	GIVEN attribute sync, WHEN IGA updates attribute, THEN change propagates to directory within SLA	1	2026-03-20	RBAC-IGA-026	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-008	Provision directory memberships	Interface	IAM	RBAC-CAP-404	Automated enforcement	DIR-2.1	Approved	Should Have	RBAC-TC-039, RBAC-TC-168	IAM Team	GIVEN role assignment, WHEN role is granted, THEN AD/Entra group membership is updated	1	2026-03-20	RBAC-IGA-031	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-INT-009	Revoke directory access on role removal	Interface	IAM	RBAC-CAP-504	Deterministic revocation	DIR-2.2	Approved	Should Have	RBAC-TC-058	IAM Team	GIVEN role removal, WHEN role is revoked, THEN AD/Entra group membership is removed	1	2026-03-20	RBAC-IGA-033	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-010	The system SHALL detect out-of-band directory changes	Interface	IAM	RBAC-CAP-701	Drift detection	DIR-3.1	Approved	Should Have	RBAC-TC-059	IAM Team	GIVEN reconciliation, WHEN IGA compares to directory, THEN orphans and unauthorized access are detected	1	2026-03-20	RBAC-IGA-041	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-INT-011	The system SHALL retain directory reconciliation evidence	Interface	IAM	RBAC-CAP-702	Audit history	DIR-3.2	Approved	Must Have	RBAC-TC-060	IAM Team	GIVEN provisioning failure, WHEN error occurs, THEN retry per policy and alert on persistent failure	1	2026-03-20	RBAC-IGA-042	IGA ↔ Directory (AD/Entra)	Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-INT-012	The system SHALL receive access request intake from ServiceNow ITSM	Interface	ServiceNow ↔ IGA Integration	RBAC-CAP-404	Standardized requests	FR-4.1	Approved	Should Have	RBAC-TC-110, RBAC-TC-111	IAM Team	GIVEN ServiceNow request, WHEN access request is submitted, THEN IGA receives for processing	1	2026-03-20	RBAC-IGA-031	IGA ↔ ServiceNow	Employee, Contractor, Vendor, Dealer	Role Change
RBAC-INT-013	The system SHALL execute fulfillment for ServiceNow-approved access requests	Interface	ServiceNow ↔ IGA Integration	RBAC-CAP-404	End-to-end traceability	FR-4.2	Approved	Should Have	RBAC-TC-025, RBAC-TC-112, RBAC-TC-161	IAM Team	GIVEN ServiceNow approval, WHEN approval is recorded, THEN IGA executes fulfillment	1	2026-03-20	RBAC-IGA-031	IGA ↔ ServiceNow	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-INT-014	The system SHALL block fulfillment of ServiceNow requests until approval is recorded	Interface	ServiceNow ↔ IGA Integration	RBAC-CAP-404	No bypass paths	RBAC-REQ-4.4	Approved	Must Have	RBAC-TC-040	IAM Team	GIVEN ServiceNow request, WHEN approval is missing, THEN IGA blocks fulfillment	1	2026-03-20	RBAC-IGA-031	IGA ↔ ServiceNow	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-INT-015	The system SHALL provide standard connectors	Interface	IGA Vendor	RBAC-CAP-105	Fast onboarding	FR-2.4	Approved	Should Have	RBAC-TC-116	IGA Vendor	GIVEN API target, WHEN provisioning is requested, THEN API call succeeds with logging	1	2026-03-20	RBAC-IGA-024	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-016	The system SHALL support extensibility where connectors unavailable	Interface	IGA Vendor	RBAC-CAP-105	Long-tail coverage	FR-2.5	Approved	Should Have	RBAC-TC-117	IGA Vendor	GIVEN REST endpoint, WHEN access change is needed, THEN REST call executes correctly	1	2026-03-20	RBAC-IGA-024	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-INT-017	Provision via API/JDBC/REST	Interface	IGA Vendor	RBAC-CAP-404	Target execution	FR-3.6	Approved	Should Have	RBAC-TC-118	IGA Vendor	GIVEN JDBC target, WHEN database access is provisioned, THEN connection and update succeed	1	2026-03-20	RBAC-IGA-031	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change, Leave of Absence, Expedited Termination
RBAC-INT-018	The system SHALL support governed scripting	Interface	IGA Vendor	RBAC-CAP-404	Scripted coverage	FR-4.3	Approved	Should Have	RBAC-TC-119	IGA Vendor	GIVEN script-based target, WHEN provisioning script runs, THEN execution is logged and auditable	1	2026-03-20	RBAC-IGA-032	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	Role Change
RBAC-INT-019	Script execution is auditable	Interface	IGA Vendor	RBAC-CAP-704	Auditable automation	FR-4.4	Approved	Must Have	RBAC-TC-041	IGA Vendor	GIVEN custom connector, WHEN deployed, THEN standard integration patterns are followed			RBAC-IGA-040	IGA ↔ Target Systems (API)	Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-001	The system SHALL provide 24x7 support for critical failures	NFR	IGA Vendor	RBAC-CAP-404	Operational continuity	Support model	Approved	Could Have	RBAC-TC-079	IGA Vendor	GIVEN availability requirement, WHEN system is measured, THEN uptime meets 99.9% SLA			RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-002	Define SLA response times for failures	NFR	IGA Vendor	RBAC-CAP-404	Predictable response	SLA matrix	Approved	Could Have	RBAC-TC-042	IGA Vendor	GIVEN provisioning failure, WHEN incident occurs, THEN resolution is within defined SLA			RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-003	Prioritize incidents impacting audit evidence	NFR	IGA Vendor	RBAC-CAP-704	Audit protection	Runbook	Approved	Must Have	RBAC-TC-080	IGA Vendor	GIVEN performance requirement, WHEN load is applied, THEN response times meet SLA			RBAC-IGA-040		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-004	Scale ingestion to enterprise volumes	NFR	IGA Vendor	RBAC-CAP-105	Enterprise scale	Reference architecture	Approved	Could Have	RBAC-TC-081	IGA Vendor	GIVEN scalability requirement, WHEN user/app volume increases, THEN performance is maintained			RBAC-IGA-023		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-005	The system SHALL support peak provisioning loads	NFR	IGA Vendor	RBAC-CAP-404	Performance stability	Benchmarks	Approved	Could Have	RBAC-TC-043	IGA Vendor	GIVEN bulk operation, WHEN mass provisioning occurs, THEN no degradation is observed			RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-006	The system SHALL support large certification campaigns	NFR	IGA Vendor	RBAC-CAP-501	Scalable reviews	Load tests	Approved	Should Have	RBAC-TC-082	IGA Vendor	GIVEN security requirement, WHEN access is attempted, THEN authentication/authorization enforced			RBAC-IGA-037		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-007	The system SHALL prevent unauthorized provisioning	NFR	IGA Vendor	RBAC-CAP-201	Control integrity	Design docs	Approved	Could Have	RBAC-TC-083	IGA Vendor	GIVEN data protection, WHEN sensitive data is handled, THEN encryption is applied			RBAC-IGA-027		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-008	Protect audit logs from tampering	NFR	IGA Vendor	RBAC-CAP-704	Evidence integrity	Security architecture	Approved	Must Have	RBAC-TC-044	IGA Vendor	GIVEN audit integrity, WHEN log tampering is attempted, THEN it is blocked or detected			RBAC-IGA-040		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-009	Govern IGA admin access	NFR	IGA Vendor	RBAC-CAP-704	Admin accountability	Admin model	Approved	Could Have	RBAC-TC-084	IGA Vendor	GIVEN compliance requirement, WHEN audit is conducted, THEN all evidence is available			RBAC-IGA-040		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-010	Publish release cadence	NFR	IGA Vendor	RBAC-CAP-803	Predictable change	Release calendar	Approved	Could Have	RBAC-TC-085	IGA Vendor	GIVEN recoverability requirement, WHEN disaster occurs, THEN recovery meets RTO/RPO			RBAC-IGA-020		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-011	The system SHALL support phased rollouts	NFR	IGA Vendor	RBAC-CAP-404	Low-risk upgrades	Deployment plan	Approved	Could Have	RBAC-TC-086	IGA Vendor	GIVEN maintainability, WHEN updates are needed, THEN changes are deployable with minimal downtime			RBAC-IGA-031		Employee, Contractor, Vendor, Dealer, Non-Human	All
RBAC-NFR-012	Preserve audit evidence across upgrades	NFR	IGA Vendor	RBAC-CAP-704	Audit continuity	Upgrade policy	Approved	Must Have	RBAC-TC-045	IGA Vendor	GIVEN platform upgrade, WHEN upgrade completes, THEN all evidence and data are retained			RBAC-IGA-040		Employee, Contractor, Vendor, Dealer, Non-Human	All
